ID,Population,Colour,BodyRegion,Background,Background2,dS,dL
m78,Hawaii,courtship,botflank,Leaf_B1,own,2.790693888,24.9523291
m78,Hawaii,courtship,botflank,Leaf_B2,own,1.381958319,25.0460328
m78,Hawaii,courtship,botflank,Leaf_T1,own,7.414052795,46.8873688
m78,Hawaii,courtship,botflank,Leaf_T2,own,4.558217625,45.3647497
m78,Hawaii,courtship,botflank,Stem1,own,1.549871236,26.9884141
m78,Hawaii,courtship,botflank,Stem2,own,1.427529901,32.4131728
m78b,Hawaii,courtship,botflank,Leaf_B1,own,0.674320938,32.4452011
m78b,Hawaii,courtship,botflank,Leaf_B2,own,2.134876316,32.5389048
m78b,Hawaii,courtship,botflank,Leaf_T1,own,4.70175795,54.3802407
m78b,Hawaii,courtship,botflank,Leaf_T2,own,2.690101262,52.8576216
m78b,Hawaii,courtship,botflank,Stem1,own,2.7902829,34.4812861
m78b,Hawaii,courtship,botflank,Stem2,own,1.999670667,39.9060447
m79c,Hawaii,courtship,botflank,Leaf_B1,own,3.536558829,27.1525705
m79c,Hawaii,courtship,botflank,Leaf_B2,own,5.189691912,27.2462742
m79c,Hawaii,courtship,botflank,Leaf_T1,own,2.378057654,49.0876101
m79c,Hawaii,courtship,botflank,Leaf_T2,own,3.285575578,47.5649911
m79c,Hawaii,courtship,botflank,Stem1,own,6.080983366,29.1886555
m79c,Hawaii,courtship,botflank,Stem2,own,5.225189688,34.6134141
m80b,Hawaii,courtship,botflank,Leaf_B1,own,0.553301193,28.1620978
m80b,Hawaii,courtship,botflank,Leaf_B2,own,2.115520916,28.2558015
m80b,Hawaii,courtship,botflank,Leaf_T1,own,4.669443195,50.0971374
m80b,Hawaii,courtship,botflank,Leaf_T2,own,2.64254523,48.5745183
m80b,Hawaii,courtship,botflank,Stem1,own,2.875669542,30.1981828
m80b,Hawaii,courtship,botflank,Stem2,own,2.013506996,35.6229414
m82d,Hawaii,courtship,botflank,Leaf_B1,own,1.372520351,16.4572158
m82d,Hawaii,courtship,botflank,Leaf_B2,own,0.924748183,16.5509196
