ID,Population,BodyRegion,Colour1,Colour2,dS,dL
m7c,Kenya,gular,display,subord,9.144666032,25.1531044
m8,Kenya,gular,display,subord,4.615322587,14.5835177
m8a,Kenya,gular,display,subord,7.02478387,27.0625673
m8c,Kenya,gular,display,subord,6.237507214,21.8225193
m101,Hawaii,midflank,display,subord,2.606537741,0.6524994
m101b,Hawaii,midflank,display,subord,5.243871358,28.3746722
m103,Hawaii,midflank,display,subord,8.457617935,15.6496297
m104c,Hawaii,midflank,display,subord,5.48047732,36.5282876
m2bh,Hawaii,midflank,display,subord,7.828237246,27.8231285
m2c,Hawaii,midflank,display,subord,9.037441966,38.2820183
m40c,Hawaii,midflank,display,subord,4.623621304,14.9579414
m40d,Hawaii,midflank,display,subord,7.81430771,17.997342
m44b,Hawaii,midflank,display,subord,4.180469057,18.63738
m67b,Hawaii,midflank,display,subord,3.595539895,18.5365094
m67d,Hawaii,midflank,display,subord,0.722287754,7.4784562
m69,Hawaii,midflank,display,subord,6.880679311,15.4717121
m73d,Hawaii,midflank,display,subord,7.901495325,16.828065
m78,Hawaii,midflank,display,subord,1.347506469,14.3352786
m78b,Hawaii,midflank,display,subord,5.323425286,21.7503748
m79c,Hawaii,midflank,display,subord,3.907750717,18.4983298
m80b,Hawaii,midflank,display,subord,4.73703447,19.6305271
m81,Hawaii,midflank,display,subord,8.050723756,39.9221944
m82c,Hawaii,midflank,display,subord,3.725750656,24.0354878
m83b,Hawaii,midflank,display,subord,7.069056825,24.8645371
m84b,Hawaii,midflank,display,subord,5.094259372,23.0833495
m85,Hawaii,midflank,display,subord,5.832497353,2.5639478
m9,Hawaii,midflank,display,subord,4.597107763,15.2524609
m91,Hawaii,midflank,display,subord,6.167221104,5.3200739
m91c,Hawaii,midflank,display,subord,2.286750668,13.38528
m92d,Hawaii,midflank,display,subord,9.989661992,22.7645975
m99,Hawaii,midflank,display,subord,1.630138868,25.4253002
ms4,Hawaii,midflank,display,subord,1.089969699,4.1528224
ms5,Hawaii,midflank,display,subord,4.7250373,22.5673899
m108,Kenya,midflank,display,subord,5.466254058,33.5621101
m13,Kenya,midflank,display,subord,8.859329651,34.7181576
m17a,Kenya,midflank,display,subord,7.332800092,36.2867421
