ID,Population,Colour,SVL,PC1,PC2,BodyRegion,Background,dS,dL
m101,Hawaii,Display,111,0.234442256,-0.29094586,botflank,Leaf_B1,0.729287111,31.2179301
m101,Hawaii,Display,111,0.234442256,-0.29094586,botflank,Leaf_B2,1.587169068,31.3116338
m101,Hawaii,Display,111,0.234442256,-0.29094586,botflank,Leaf_T1,5.227674101,53.1529697
m101,Hawaii,Display,111,0.234442256,-0.29094586,botflank,Leaf_T2,2.912982575,51.6303506
m101,Hawaii,Display,111,0.234442256,-0.29094586,botflank,Stem1,2.191831889,33.2540151
m101,Hawaii,Display,111,0.234442256,-0.29094586,botflank,Stem2,1.442642882,38.6787737
m101,Hawaii,Display,111,0.234442256,-0.29094586,gular,Leaf_B1,8.536437938,38.0077699
m101,Hawaii,Display,111,0.234442256,-0.29094586,gular,Leaf_B2,10.14090069,38.1014737
m101,Hawaii,Display,111,0.234442256,-0.29094586,gular,Leaf_T1,4.628745933,59.9428096
m101,Hawaii,Display,111,0.234442256,-0.29094586,gular,Leaf_T2,7.597976089,58.4201905
m101,Hawaii,Display,111,0.234442256,-0.29094586,gular,Stem1,10.90430988,40.043855
m101,Hawaii,Display,111,0.234442256,-0.29094586,gular,Stem2,10.19452418,45.4686136
m101,Hawaii,Display,111,0.234442256,-0.29094586,gular,Leaf_B1,4.740226031,36.6467839
m101,Hawaii,Display,111,0.234442256,-0.29094586,gular,Leaf_B2,6.325540322,36.7404877
m101,Hawaii,Display,111,0.234442256,-0.29094586,gular,Leaf_T1,2.098664577,58.5818236
m101,Hawaii,Display,111,0.234442256,-0.29094586,gular,Leaf_T2,4.064064399,57.0592045
m101,Hawaii,Display,111,0.234442256,-0.29094586,gular,Stem1,7.107115799,38.682869
m101,Hawaii,Display,111,0.234442256,-0.29094586,gular,Stem2,6.398690384,44.1076276
m101,Hawaii,Display,111,0.234442256,-0.29094586,midflank,Leaf_B1,7.151542734,31.5552583
m101,Hawaii,Display,111,0.234442256,-0.29094586,midflank,Leaf_B2,8.795629962,31.648962
m101,Hawaii,Display,111,0.234442256,-0.29094586,midflank,Leaf_T1,4.309628678,53.4902979
m101,Hawaii,Display,111,0.234442256,-0.29094586,midflank,Leaf_T2,6.769390986,51.9676789
m101,Hawaii,Display,111,0.234442256,-0.29094586,midflank,Stem1,9.32843599,33.5913433
m101,Hawaii,Display,111,0.234442256,-0.29094586,midflank,Stem2,8.645362948,39.0161019
m101,Hawaii,Display,111,0.234442256,-0.29094586,tailbase,Leaf_B1,1.931987776,28.8121333
m101,Hawaii,Display,111,0.234442256,-0.29094586,tailbase,Leaf_B2,1.996900078,28.905837
m101,Hawaii,Display,111,0.234442256,-0.29094586,tailbase,Leaf_T1,6.380730451,50.7471729
m101,Hawaii,Display,111,0.234442256,-0.29094586,tailbase,Leaf_T2,4.137317549,49.2245538
m101,Hawaii,Display,111,0.234442256,-0.29094586,tailbase,Stem1,2.136220373,30.8482183
m101,Hawaii,Display,111,0.234442256,-0.29094586,tailbase,Stem2,1.330877787,36.2729769
m101b,Hawaii,Display,108,3.210768338,-0.185715059,botflank,Leaf_B1,2.899608244,22.658443
m101b,Hawaii,Display,108,3.210768338,-0.185715059,botflank,Leaf_B2,4.318497612,22.7521467
m101b,Hawaii,Display,108,3.210768338,-0.185715059,botflank,Leaf_T1,3.463573972,44.5934827
m101b,Hawaii,Display,108,3.210768338,-0.185715059,botflank,Leaf_T2,3.106032561,43.0708636
m101b,Hawaii,Display,108,3.210768338,-0.185715059,botflank,Stem1,4.858488184,24.694528
m101b,Hawaii,Display,108,3.210768338,-0.185715059,botflank,Stem2,4.280595876,30.1192867
m101b,Hawaii,Display,108,3.210768338,-0.185715059,gular,Leaf_B1,5.463410517,33.3841362
m101b,Hawaii,Display,108,3.210768338,-0.185715059,gular,Leaf_B2,6.844265301,33.4778399
m101b,Hawaii,Display,108,3.210768338,-0.185715059,gular,Leaf_T1,3.269660861,55.3191758
m101b,Hawaii,Display,108,3.210768338,-0.185715059,gular,Leaf_T2,4.75513619,53.7965567
m101b,Hawaii,Display,108,3.210768338,-0.185715059,gular,Stem1,7.470862603,35.4202212
m101b,Hawaii,Display,108,3.210768338,-0.185715059,gular,Stem2,6.937074298,40.8449798
m101b,Hawaii,Display,108,3.210768338,-0.185715059,midflank,Leaf_B1,3.468016579,25.6201624
m101b,Hawaii,Display,108,3.210768338,-0.185715059,midflank,Leaf_B2,5.058508034,25.7138661
m101b,Hawaii,Display,108,3.210768338,-0.185715059,midflank,Leaf_T1,3.065889276,47.5552021
m101b,Hawaii,Display,108,3.210768338,-0.185715059,midflank,Leaf_T2,3.584717634,46.032583
m101b,Hawaii,Display,108,3.210768338,-0.185715059,midflank,Stem1,5.612557308,27.6562474
m101b,Hawaii,Display,108,3.210768338,-0.185715059,midflank,Stem2,4.942365353,33.0810061
m101b,Hawaii,Display,108,3.210768338,-0.185715059,tailbase,Leaf_B1,3.590971486,22.548233
m101b,Hawaii,Display,108,3.210768338,-0.185715059,tailbase,Leaf_B2,2.361763238,22.6419367
m101b,Hawaii,Display,108,3.210768338,-0.185715059,tailbase,Leaf_T1,8.332479338,44.4832726
m101b,Hawaii,Display,108,3.210768338,-0.185715059,tailbase,Leaf_T2,5.609639502,42.9606535
m101b,Hawaii,Display,108,3.210768338,-0.185715059,tailbase,Stem1,1.253343953,24.584318
m101b,Hawaii,Display,108,3.210768338,-0.185715059,tailbase,Stem2,1.777992019,30.0090766
m101b,Hawaii,Display,108,3.210768338,-0.185715059,topflank,Leaf_B1,2.865605403,19.9554115
m101b,Hawaii,Display,108,3.210768338,-0.185715059,topflank,Leaf_B2,4.532405951,20.0491152
m101b,Hawaii,Display,108,3.210768338,-0.185715059,topflank,Leaf_T1,3.195509374,41.8904512
m101b,Hawaii,Display,108,3.210768338,-0.185715059,topflank,Leaf_T2,3.286522168,40.3678321
m101b,Hawaii,Display,108,3.210768338,-0.185715059,topflank,Stem1,5.164153319,21.9914965
m101b,Hawaii,Display,108,3.210768338,-0.185715059,topflank,Stem2,4.382908379,27.4162552
m101c,Hawaii,Display,136,-1.851637626,0.598855158,botflank,Leaf_B1,0.872948401,29.9267543
m101c,Hawaii,Display,136,-1.851637626,0.598855158,botflank,Leaf_B2,1.760302522,30.020458
m101c,Hawaii,Display,136,-1.851637626,0.598855158,botflank,Leaf_T1,5.205753646,51.8617939
m101c,Hawaii,Display,136,-1.851637626,0.598855158,botflank,Leaf_T2,2.929840347,50.3391748
m101c,Hawaii,Display,136,-1.851637626,0.598855158,botflank,Stem1,2.67681577,31.9628393
m101c,Hawaii,Display,136,-1.851637626,0.598855158,botflank,Stem2,1.723130212,37.3875979
m101c,Hawaii,Display,136,-1.851637626,0.598855158,gular,Leaf_B1,2.354154839,35.3204351
m101c,Hawaii,Display,136,-1.851637626,0.598855158,gular,Leaf_B2,3.990361412,35.4141388
m101c,Hawaii,Display,136,-1.851637626,0.598855158,gular,Leaf_T1,2.752695683,57.2554747
m101c,Hawaii,Display,136,-1.851637626,0.598855158,gular,Leaf_T2,2.329122416,55.7328556
m101c,Hawaii,Display,136,-1.851637626,0.598855158,gular,Stem1,4.882448754,37.3565201
m101c,Hawaii,Display,136,-1.851637626,0.598855158,gular,Stem2,4.085952655,42.7812787
m101c,Hawaii,Display,136,-1.851637626,0.598855158,midflank,Leaf_B1,2.397744237,27.1928875
m101c,Hawaii,Display,136,-1.851637626,0.598855158,midflank,Leaf_B2,4.030077247,27.2865912
m101c,Hawaii,Display,136,-1.851637626,0.598855158,midflank,Leaf_T1,3.67849978,49.1279272
m101c,Hawaii,Display,136,-1.851637626,0.598855158,midflank,Leaf_T2,3.197905684,47.6053081
m101c,Hawaii,Display,136,-1.851637626,0.598855158,midflank,Stem1,4.707825597,29.2289725
m101c,Hawaii,Display,136,-1.851637626,0.598855158,midflank,Stem2,3.849852926,34.6537312
m101c,Hawaii,Display,136,-1.851637626,0.598855158,tailbase,Leaf_B1,4.082378162,27.3095548
m101c,Hawaii,Display,136,-1.851637626,0.598855158,tailbase,Leaf_B2,3.538836957,27.4032585
m101c,Hawaii,Display,136,-1.851637626,0.598855158,tailbase,Leaf_T1,8.188791821,49.2445945
m101c,Hawaii,Display,136,-1.851637626,0.598855158,tailbase,Leaf_T2,5.849448238,47.7219754
m101c,Hawaii,Display,136,-1.851637626,0.598855158,tailbase,Stem1,3.596153426,29.3456398
m101c,Hawaii,Display,136,-1.851637626,0.598855158,tailbase,Stem2,3.209108083,34.7703985
m101c,Hawaii,Display,136,-1.851637626,0.598855158,topflank,Leaf_B1,2.102131929,25.3896351
m101c,Hawaii,Display,136,-1.851637626,0.598855158,topflank,Leaf_B2,3.727362429,25.4833389
m101c,Hawaii,Display,136,-1.851637626,0.598855158,topflank,Leaf_T1,3.90687992,47.3246748
m101c,Hawaii,Display,136,-1.851637626,0.598855158,topflank,Leaf_T2,3.157237797,45.8020557
m101c,Hawaii,Display,136,-1.851637626,0.598855158,topflank,Stem1,4.332274186,27.4257202
m101c,Hawaii,Display,136,-1.851637626,0.598855158,topflank,Stem2,3.494693175,32.8504788
m103,Hawaii,Display,95,-0.901259148,-0.611601126,botflank,Leaf_B1,1.810772869,24.2673921
m103,Hawaii,Display,95,-0.901259148,-0.611601126,botflank,Leaf_B2,3.473374591,24.3610959
m103,Hawaii,Display,95,-0.901259148,-0.611601126,botflank,Leaf_T1,3.447278433,46.2024318
m103,Hawaii,Display,95,-0.901259148,-0.611601126,botflank,Leaf_T2,2.459689922,44.6798127
m103,Hawaii,Display,95,-0.901259148,-0.611601126,botflank,Stem1,4.349000031,26.3034772
m103,Hawaii,Display,95,-0.901259148,-0.611601126,botflank,Stem2,3.478513346,31.7282358
m103,Hawaii,Display,95,-0.901259148,-0.611601126,gular,Leaf_B1,5.73011391,37.4074517
m103,Hawaii,Display,95,-0.901259148,-0.611601126,gular,Leaf_B2,7.383115928,37.5011555
m103,Hawaii,Display,95,-0.901259148,-0.611601126,gular,Leaf_T1,2.513868918,59.3424914
m103,Hawaii,Display,95,-0.901259148,-0.611601126,gular,Leaf_T2,5.065776642,57.8198723
m103,Hawaii,Display,95,-0.901259148,-0.611601126,gular,Stem1,8.21872802,39.4435368
m103,Hawaii,Display,95,-0.901259148,-0.611601126,gular,Stem2,7.413113571,44.8682954
m103,Hawaii,Display,95,-0.901259148,-0.611601126,midflank,Leaf_B1,7.284764574,26.64463
m103,Hawaii,Display,95,-0.901259148,-0.611601126,midflank,Leaf_B2,8.940157353,26.7383337
m103,Hawaii,Display,95,-0.901259148,-0.611601126,midflank,Leaf_T1,3.999499567,48.5796697
m103,Hawaii,Display,95,-0.901259148,-0.611601126,midflank,Leaf_T2,6.702605996,47.0570506
m103,Hawaii,Display,95,-0.901259148,-0.611601126,midflank,Stem1,9.605347539,28.680715
m103,Hawaii,Display,95,-0.901259148,-0.611601126,midflank,Stem2,8.871937491,34.1054737
m103,Hawaii,Display,95,-0.901259148,-0.611601126,tailbase,Leaf_B1,0.820921445,19.3151849
m103,Hawaii,Display,95,-0.901259148,-0.611601126,tailbase,Leaf_B2,1.739881031,19.4088887
m103,Hawaii,Display,95,-0.901259148,-0.611601126,tailbase,Leaf_T1,5.308498227,41.2502246
m103,Hawaii,Display,95,-0.901259148,-0.611601126,tailbase,Leaf_T2,3.085301103,39.7276055
m103,Hawaii,Display,95,-0.901259148,-0.611601126,tailbase,Stem1,2.445642342,21.35127
m103,Hawaii,Display,95,-0.901259148,-0.611601126,tailbase,Stem2,1.505933811,26.7760286
m103,Hawaii,Display,95,-0.901259148,-0.611601126,topflank,Leaf_B1,2.878033192,16.7281156
m103,Hawaii,Display,95,-0.901259148,-0.611601126,topflank,Leaf_B2,4.534561039,16.8218193
m103,Hawaii,Display,95,-0.901259148,-0.611601126,topflank,Leaf_T1,2.587287476,38.6631553
m103,Hawaii,Display,95,-0.901259148,-0.611601126,topflank,Leaf_T2,2.793097396,37.1405362
m103,Hawaii,Display,95,-0.901259148,-0.611601126,topflank,Stem1,5.438367231,18.7642006
m103,Hawaii,Display,95,-0.901259148,-0.611601126,topflank,Stem2,4.585073211,24.1889593
m104c,Hawaii,Display,126,0.796235225,-0.111164262,botflank,Leaf_B1,0.934376354,35.0360127
m104c,Hawaii,Display,126,0.796235225,-0.111164262,botflank,Leaf_B2,1.540504479,35.1297164
m104c,Hawaii,Display,126,0.796235225,-0.111164262,botflank,Leaf_T1,5.57868989,56.9710524
m104c,Hawaii,Display,126,0.796235225,-0.111164262,botflank,Leaf_T2,3.283446675,55.4484333
m104c,Hawaii,Display,126,0.796235225,-0.111164262,botflank,Stem1,2.044998644,37.0720977
m104c,Hawaii,Display,126,0.796235225,-0.111164262,botflank,Stem2,1.129675071,42.4968564
m104c,Hawaii,Display,126,0.796235225,-0.111164262,gular,Leaf_B1,5.273510741,37.9795773
m104c,Hawaii,Display,126,0.796235225,-0.111164262,gular,Leaf_B2,6.856319632,38.073281
m104c,Hawaii,Display,126,0.796235225,-0.111164262,gular,Leaf_T1,2.307156963,59.9146169
m104c,Hawaii,Display,126,0.796235225,-0.111164262,gular,Leaf_T2,4.547466797,58.3919978
m104c,Hawaii,Display,126,0.796235225,-0.111164262,gular,Stem1,7.619350973,40.0156623
m104c,Hawaii,Display,126,0.796235225,-0.111164262,gular,Stem2,6.92105767,45.4404209
m104c,Hawaii,Display,126,0.796235225,-0.111164262,midflank,Leaf_B1,2.974979302,31.3338421
m104c,Hawaii,Display,126,0.796235225,-0.111164262,midflank,Leaf_B2,4.628376761,31.4275458
m104c,Hawaii,Display,126,0.796235225,-0.111164262,midflank,Leaf_T1,3.516512448,53.2688818
m104c,Hawaii,Display,126,0.796235225,-0.111164262,midflank,Leaf_T2,3.599288637,51.7462627
m104c,Hawaii,Display,126,0.796235225,-0.111164262,midflank,Stem1,5.174431422,33.3699271
m104c,Hawaii,Display,126,0.796235225,-0.111164262,midflank,Stem2,4.389504946,38.7946858
m104c,Hawaii,Display,126,0.796235225,-0.111164262,tailbase,Leaf_B1,2.518673166,32.1111133
m104c,Hawaii,Display,126,0.796235225,-0.111164262,tailbase,Leaf_B2,2.343204144,32.204817
m104c,Hawaii,Display,126,0.796235225,-0.111164262,tailbase,Leaf_T1,7.018915281,54.0461529
