ID,Population,Colour,BodyRegion,Background,Background2,dS,dL
m69,Hawaii,display,botflank,Stem1,own,4.528815313,32.3616466
m69,Hawaii,display,botflank,Stem2,own,3.718456369,37.7864053
m73d,Hawaii,display,botflank,Leaf_B1,own,3.128882945,24.2260475
m73d,Hawaii,display,botflank,Leaf_B2,own,4.798156446,24.3197512
m73d,Hawaii,display,botflank,Leaf_T1,own,3.184476062,46.1610871
m73d,Hawaii,display,botflank,Leaf_T2,own,3.506820755,44.638468
m73d,Hawaii,display,botflank,Stem1,own,5.420920277,26.2621325
m73d,Hawaii,display,botflank,Stem2,own,4.630999202,31.6868911
m78,Hawaii,display,botflank,Leaf_B1,own,2.861279462,28.3712756
m78,Hawaii,display,botflank,Leaf_B2,own,1.318735218,28.4649793
m78,Hawaii,display,botflank,Leaf_T1,own,7.441552418,50.3063153
m78,Hawaii,display,botflank,Leaf_T2,own,4.518577557,48.7836962
m78,Hawaii,display,botflank,Stem1,own,1.586068529,30.4073606
m78,Hawaii,display,botflank,Stem2,own,1.55513408,35.8321193
m78b,Hawaii,display,botflank,Leaf_B1,own,1.701256722,24.5062162
m78b,Hawaii,display,botflank,Leaf_B2,own,0.960310926,24.59992
m78b,Hawaii,display,botflank,Leaf_T1,own,6.386630871,46.4412559
m78b,Hawaii,display,botflank,Leaf_T2,own,3.762540313,44.9186368
m78b,Hawaii,display,botflank,Stem1,own,1.048450777,26.5423013
m78b,Hawaii,display,botflank,Stem2,own,0.467606463,31.9670599
m79c,Hawaii,display,botflank,Leaf_B1,own,2.71916465,34.1504619
m79c,Hawaii,display,botflank,Leaf_B2,own,4.37422539,34.2441656
m79c,Hawaii,display,botflank,Leaf_T1,own,2.628449307,56.0855016
m79c,Hawaii,display,botflank,Leaf_T2,own,2.67510132,54.5628825
m79c,Hawaii,display,botflank,Stem1,own,5.215776511,36.1865469
m79c,Hawaii,display,botflank,Stem2,own,4.415185285,41.6113056
m80b,Hawaii,display,botflank,Leaf_B1,own,1.365523415,29.0437379
m80b,Hawaii,display,botflank,Leaf_B2,own,0.992189653,29.1374416
m80b,Hawaii,display,botflank,Leaf_T1,own,6.10179822,50.9787775
m80b,Hawaii,display,botflank,Leaf_T2,own,3.53604261,49.4561584
m80b,Hawaii,display,botflank,Stem1,own,1.569866002,31.0798229
m80b,Hawaii,display,botflank,Stem2,own,0.633995517,36.5045815
m81,Hawaii,display,botflank,Leaf_B1,own,1.011102123,21.135869
m81,Hawaii,display,botflank,Leaf_B2,own,1.70488951,21.2295727
m81,Hawaii,display,botflank,Leaf_T1,own,5.413228305,43.0709086
m81,Hawaii,display,botflank,Leaf_T2,own,3.171500882,41.5482895
m81,Hawaii,display,botflank,Stem1,own,2.05151316,23.171954
m81,Hawaii,display,botflank,Stem2,own,1.374020394,28.5967126
