"wavelength","29a.birdbotflank","29a.birdgular","29a.birdgularbot","29a.birdmidflank","29a.birdtailbase","29a.birdtopflank","m108.birdbotflank","m108.birdgular","m108.birdgularbot","m108.birdmidflank","m108.birdtailbase","m108.birdtopflank","m11.birdbotflank","m11.birdgular","m11.birdgularbot","m11.birdmidflank","m11.birdtailbase","m11.birdtopflank","m17b.birdbotflank","m17b.birdgular","m17b.birdgularbot","m17b.birdmidflank","m17b.birdtailbase","m18c.birdbotflank","m18c.birdgular","m18c.birdgularbot","m18c.birdmidflank","m18c.birdtailbase","m18c.birdtopflank","m22a.birdbotflank","m22a.birdgular","m22a.birdgularbot","m22a.birdmidflank","m22a.birdtailbase","m22a.birdtopflank","m23.birdbotflank","m23.birdgular","m23.birdgularbot","m23.birdmidflank","m23.birdtailbase","m23.birdtopflank","m23.birdgular2","m23.birdgularbot2","m24b.birdbotflank","m24b.birdgular","m24b.birdgularbot","m24b.birdmidflank","m24b.birdtailbase","m24b.birdtopflank","m32a.birdbotflank","m32a.birdgular","m32a.birdgularbot","m32a.birdmidflank","m32a.birdtailbase","m32a.birdtopflank","m3b.birdbotflank","m3b.birdgular","m3b.birdgularbot","m3b.birdmidflank","m3b.birdtailbase","m3b.birdtopflank","m48.birdbotflank","m48.birdgular","m48.birdgularbot","m48.birdmidflank","m48.birdtailbase","m48.birdtopflank","m55.birdbotflank","m55.birdgular","m55.birdgularbot","m55.birdmidflank","m55.birdtailbase","m55.birdtopflank","m55c.birdbotflank","m55c.birdgular","m55c.birdgularbot","m55c.birdmidflank","m55c.birdtailbase","m55c.birdtopflank","m56a.birdbotflank","m56a.birdgular","m56a.birdgularbot","m56a.birdmidflank","m56a.birdtailbase","m56a.birdtopflank","m56c.birdbotflank","m56c.birdgular","m56c.birdgularbot","m56c.birdmidflank","m56c.birdtailbase","m56c.birdtopflank","m63a.birdbotflank","m63a.birdgular","m63a.birdgularbot","m63a.birdmidflank","m63a.birdtailbase","m63a.birdtopflank","m63b.birdbotflank","m63b.birdgular","m63b.birdgularbot","m63b.birdmidflank","m63b.birdtailbase","m63b.birdtopflank","m64.birdbotflank","m64.birdgular","m64.birdgularbot","m64.birdmidflank","m64.birdtailbase","m64.birdtopflank","m64.birdgular2","m64.birdgularbot2","m72.sbirdtopflank","m74a.birdbotflank","m74a.birdgular","m74a.birdgularbot","m74a.birdmidflank","m74a.birdtailbase","m74a.birdtopflank","m7a.birdbotflank","m7a.birdgular","m7a.birdgularbot","m7a.birdmidflank","m7a.birdtailbase","m7a.birdtopflank","m7c.birdbotflank","m7c.birdgular","m7c.birdgularbot","m7c.birdmidflank","m7c.birdtailbase","m7c.birdtopflank","m8.birdbotflank","m8.birdgular","m8.birdgularbot","m8.birdmidflank","m8.birdtailbase","m8.birdtopflank"
300,4.11180769230769,6.40946153846154,3.04030769230769,5.009,3.44019230769231,3.88284615384615,4.10773076923077,7.85346153846154,2.93842307692308,2.38761538461538,1.82119230769231,1.85461538461538,5.71496153846154,5.32757692307692,3.52661538461539,5.5805,5.18973076923077,4.10569230769231,3.71919230769231,5.02292307692308,3.09584615384615,6.31761538461538,3.45015384615385,2.90357692307692,9.3505,6.57515384615385,4.38861538461538,2.24415384615385,1.39492307692308,7.15496153846154,11.9549230769231,4.40311538461538,4.66615384615385,5.42715384615385,4.01903846153846,4.12076923076923,5.58273076923077,4.15215384615385,4.81023076923077,4.67834615384615,1.03580769230769,6.57207692307692,4.66838461538462,5.36603846153846,9.44561538461538,6.78546153846154,5.14969230769231,6.03326923076923,4.41776923076923,2.80461538461538,5.11946153846154,1.98853846153846,3.99803846153846,6.02396153846154,4.15615384615385,6.39476923076923,5.94826923076923,3.64934615384615,4.03853846153846,4.80138461538462,2.87484615384615,3.64296153846154,6.52065384615385,1.60861538461538,4.30069230769231,3.48753846153846,3.29426923076923,2.33765384615385,4.53492307692308,2.38442307692308,3.47915384615385,4.97657692307692,1.69430769230769,2.99738461538462,6.13096153846154,0.692961538461538,1.80353846153846,3.151,0.658884615384616,0.814384615384615,3.55353846153846,-0.0081923076923077,1.06338461538462,0.468769230769231,0.70723076923077,1.3885,6.16307692307692,6.09292307692308,1.74473076923077,2.42038461538462,1.97765384615385,1.167,2.89373076923077,1.76807692307692,0.848,0.285269230769231,-0.399615384615385,3.25569230769231,6.73407692307692,2.15865384615385,3.64980769230769,4.92776923076923,3.51065384615385,3.66115384615385,8.96592307692308,4.04146153846154,1.85165384615385,2.83165384615385,2.17684615384615,5.30376923076923,3.34165384615385,3.29238461538462,0.618307692307692,0.8435,1.24461538461538,0.885153846153846,0.651730769230769,0.480230769230769,2.85030769230769,5.386,5.20784615384615,2.86973076923077,1.81853846153846,1.68726923076923,6.51396153846154,6.60003846153846,2.93511538461538,3.84919230769231,3.89484615384615,2.35688461538462,4.59088461538462,4.40792307692308,0.903423076923077,4.44761538461538,4.39073076923077,4.72484615384615
305,4.348,6.79485185185185,3.08259259259259,4.76796296296296,4.04122222222222,4.09092592592592,4.06088888888889,7.91677777777778,3.03248148148148,2.68666666666667,1.81818518518519,2.38422222222222,5.86581481481481,5.2867037037037,3.5587037037037,5.00337037037037,4.70396296296296,3.82851851851852,3.64362962962963,5.32722222222222,3.31648148148148,6.52262962962963,2.99896296296296,2.62251851851852,9.7922962962963,5.95681481481481,4.03977777777778,2.81518518518519,1.46718518518518,6.98140740740741,11.7695555555556,5.02396296296296,5.01348148148148,5.76766666666667,4.23803703703704,4.22281481481482,5.73140740740741,4.27911111111111,5.09755555555556,5.35188888888889,1.32511111111111,6.6585925925926,5.63592592592593,5.44625925925926,9.58122222222222,7.02833333333333,5.79922222222222,6.31251851851852,4.55837037037037,2.93285185185185,4.82551851851852,1.65407407407407,3.57625925925926,5.81866666666667,4.25603703703704,6.64066666666667,6.37581481481481,4.19137037037037,4.49374074074074,5.41703703703704,2.87774074074074,3.83059259259259,7.37044444444444,1.60581481481481,5.04633333333333,3.94355555555556,2.95866666666667,2.72622222222222,3.87874074074074,1.88066666666667,3.06696296296296,4.71851851851852,1.74233333333333,3.30203703703704,6.48803703703704,1.48222222222222,2.18751851851852,3.13737037037037,1.13611111111111,0.905777777777778,3.54485185185185,0.242259259259259,1.39133333333333,0.442333333333333,0.92062962962963,0.977185185185185,5.7167037037037,5.97681481481482,1.16496296296296,2.24385185185185,1.66307407407407,1.03637037037037,2.82266666666667,1.85137037037037,0.73062962962963,0.294074074074074,-0.650407407407407,3.30637037037037,6.56722222222222,1.96711111111111,3.00574074074074,4.3052962962963,3.371,3.52411111111111,8.6745925925926,3.43592592592593,2.08362962962963,2.73859259259259,2.42337037037037,5.39907407407407,3.7877037037037,3.27577777777778,0.278925925925926,0.654555555555556,0.972037037037037,0.604888888888889,0.518444444444444,0.113962962962963,2.94144444444444,5.52659259259259,5.12814814814815,3.07066666666667,2.35807407407407,1.94996296296296,6.43496296296296,6.6885925925926,3.30114814814815,3.2157037037037,4.03944444444444,2.86514814814815,4.87166666666667,4.88581481481481,1.09485185185185,5.29159259259259,5.02644444444444,4.59159259259259
310,3.51844444444444,7.00985185185185,3.0352962962963,4.15637037037037,4.46933333333333,4.39203703703704,4.55911111111111,7.73111111111111,2.85837037037037,3.00403703703704,1.87911111111111,2.7742962962963,5.87444444444444,5.49944444444445,3.4347037037037,4.87137037037037,4.93874074074074,3.8692962962963,3.7032962962963,5.32648148148148,3.56677777777778,6.87896296296296,2.81788888888889,2.52962962962963,9.71862962962963,6.31596296296296,3.82096296296296,2.97907407407407,1.71018518518519,6.74351851851852,12.3978148148148,4.85485185185185,5.03174074074074,6.0237037037037,4.84496296296296,4.20559259259259,5.92888888888889,4.58162962962963,5.10381481481481,5.63555555555556,1.75048148148148,6.84314814814815,5.90955555555556,4.31322222222222,8.89792592592593,6.15966666666667,5.03844444444444,5.4372962962963,3.5757037037037,3.23796296296296,5.15140740740741,2.3172962962963,3.47892592592593,5.76022222222222,4.93755555555556,6.3762962962963,6.00944444444444,3.46655555555556,3.27892592592593,5.22707407407407,2.10288888888889,3.90159259259259,7.48407407407407,1.77,4.56111111111111,3.64944444444444,2.77692592592593,2.90622222222222,4.12451851851852,2.467,2.98707407407407,4.83681481481481,1.40566666666667,3.59822222222222,6.71677777777778,2.39811111111111,2.71451851851852,4.07081481481482,1.87011111111111,1.538,3.83,0.449851851851852,1.78240740740741,0.503592592592593,1.05488888888889,1.00314814814815,5.78944444444445,5.97211111111111,0.926925925925926,2.29025925925926,1.65688888888889,1.24859259259259,3.53951851851852,2.61792592592593,1.12351851851852,0.779259259259259,-0.263296296296296,3.44759259259259,7.10237037037037,2.23474074074074,3.3062962962963,3.82648148148148,3.31285185185185,2.69425925925926,8.11407407407407,3.10355555555555,2.25974074074074,2.29166666666667,1.68048148148148,4.78551851851852,3.4867037037037,2.70944444444444,0.39762962962963,0.922407407407407,1.63733333333333,1.01062962962963,0.678111111111111,0.255740740740741,3.22822222222222,5.54277777777778,4.91144444444445,3.09177777777778,2.67411111111111,2.21933333333333,6.01188888888889,6.76907407407408,3.34733333333333,3.0082962962963,3.43725925925926,2.31833333333333,4.83566666666667,4.60066666666667,0.443814814814814,5.48644444444445,4.836,4.34651851851852
315,3.83007407407407,7.02596296296296,2.84014814814815,4.13818518518519,4.16551851851852,4.209,5.10655555555555,7.96918518518518,2.74,3.17144444444444,2.19074074074074,2.65392592592593,5.33207407407407,5.30544444444445,2.96748148148148,5.01655555555556,5.31137037037037,3.77907407407407,3.58766666666667,4.88796296296296,3.0372962962963,6.5205925925926,3.19648148148148,3.13911111111111,9.46722222222222,6.8622962962963,3.59692592592593,2.80966666666667,1.50388888888889,6.2262962962963,12.1673703703704,4.04296296296296,4.69796296296296,5.5737037037037,4.2742962962963,3.67777777777778,5.36559259259259,3.32377777777778,4.93659259259259,4.7357037037037,1.26666666666667,6.60451851851852,5.04607407407407,4.17718518518519,8.6017037037037,6.00396296296296,4.3497037037037,4.95422222222222,3.82851851851852,3.01011111111111,4.97951851851852,2.50237037037037,3.71885185185185,6.00966666666667,5.17014814814815,6.18092592592593,6.42403703703704,3.50214814814815,2.80618518518519,5.06692592592593,2.67388888888889,3.80722222222222,6.76596296296296,1.68351851851852,4.27485185185185,3.39388888888889,2.43751851851852,2.83077777777778,5.05892592592593,3.04344444444444,3.10718518518518,5.55259259259259,1.82096296296296,3.12255555555556,6.39348148148148,2.26811111111111,2.02218518518519,3.767,1.63062962962963,1.39766666666667,3.68511111111111,0.198925925925926,1.58714814814815,0.322,0.820222222222222,1.04477777777778,6.21766666666667,6.44059259259259,1.53855555555556,2.38025925925926,2.1427037037037,0.624,3.56203703703704,2.26125925925926,1.07614814814815,0.457481481481482,-0.556296296296296,3.57644444444444,7.48451851851852,1.91166666666667,3.70881481481481,3.26918518518518,3.29251851851852,2.29022222222222,8.5454074074074,3.04011111111111,2.18507407407407,1.96414814814815,1.84159259259259,4.53855555555556,3.19340740740741,2.70451851851852,0.572740740740741,0.974851851851852,1.73877777777778,1.26944444444444,0.716777777777778,0.369185185185185,3.68044444444444,6.20755555555556,5.9252962962963,2.99662962962963,2.80674074074074,2.47411111111111,5.89692592592593,7.0247037037037,2.8232962962963,3.22707407407407,3.38348148148148,1.99651851851852,4.49440740740741,4.35681481481482,-0.111666666666667,5.01985185185185,4.39777777777778,4.34344444444444
320,3.94533333333333,6.7657037037037,3.13622222222222,4.62011111111111,4.13311111111111,3.5412962962963,5.0672962962963,7.53814814814815,3.1482962962963,2.89825925925926,2.46396296296296,2.45188888888889,4.31244444444444,4.83337037037037,3.411,4.56059259259259,4.27051851851852,3.61451851851852,3.6677037037037,4.92685185185185,3.18992592592593,5.73681481481481,3.17011111111111,3.07514814814815,9.17937037037037,6.65411111111111,3.73937037037037,2.90077777777778,1.2292962962963,6.28618518518519,11.6681851851852,3.56648148148148,5.07766666666667,5.23551851851852,3.92803703703704,3.76159259259259,5.2952962962963,3.11062962962963,4.75237037037037,4.73718518518518,1.65007407407407,7.47662962962963,5.90655555555555,4.98885185185185,9.31718518518518,6.44266666666667,4.28507407407407,5.2677037037037,4.3857037037037,3.19092592592593,4.29940740740741,2.16766666666667,3.89551851851852,5.9572962962963,5.15603703703704,6.24496296296296,6.45985185185185,4.11003703703704,3.80311111111111,5.35311111111111,3.72148148148148,3.797,6.27377777777778,0.849592592592592,4.54707407407407,3.07751851851852,2.0522962962963,2.5572962962963,4.84381481481481,2.27618518518519,2.87133333333333,4.83944444444445,1.49788888888889,2.91503703703704,6.50003703703704,1.83725925925926,1.74659259259259,3.36340740740741,1.09688888888889,0.870592592592592,3.07459259259259,0.0732592592592593,1.30181481481481,0.177185185185185,0.570407407407407,0.962962962962963,6.502,6.74885185185185,2.30674074074074,2.69614814814815,2.57392592592593,0.822444444444445,3.32359259259259,1.6932962962963,1.01825925925926,-0.500259259259259,-0.627481481481482,4.27425925925926,7.39033333333333,1.84525925925926,3.67540740740741,3.40107407407407,4.02466666666667,2.94374074074074,8.96762962962963,3.82203703703704,2.79233333333333,2.74814814814815,2.55166666666667,4.81881481481482,3.8657037037037,2.68737037037037,0.383777777777778,0.758037037037037,0.84425925925926,1.70325925925926,0.503074074074074,0.399666666666667,3.39418518518519,6.27740740740741,6.05007407407407,2.49366666666667,2.98037037037037,2.29222222222222,6.34248148148148,7.53940740740741,2.04262962962963,3.62762962962963,3.84374074074074,2.20714814814815,4.5397037037037,4.20544444444444,0.283777777777778,4.11244444444444,4.54340740740741,4.44992592592593
325,4.04444444444445,6.92092592592593,3.35292592592592,4.92355555555555,4.19874074074074,3.83474074074074,5.13988888888889,6.75655555555556,3.2777037037037,2.87885185185185,2.51474074074074,1.8487037037037,3.59803703703704,5.25625925925926,3.67092592592592,4.19014814814815,2.46555555555556,3.83840740740741,3.86377777777778,5.27555555555556,4.53503703703704,6.16185185185185,3.32151851851852,2.99040740740741,8.73674074074074,6.28966666666667,3.89407407407407,2.36155555555556,1.23,7.41848148148148,12.605037037037,4.25274074074074,6.4552962962963,4.986,5.00566666666667,4.86488888888889,5.686,4.70681481481481,4.95555555555555,5.4512962962963,3.07385185185185,8.65518518518518,7.00622222222222,4.99114814814815,10.3529259259259,6.86644444444444,4.71077777777778,5.38314814814815,3.89588888888889,3.49014814814815,4.55807407407408,2.27444444444444,4.29177777777778,5.94944444444444,5.40696296296296,6.66659259259259,5.81992592592592,4.14562962962963,4.83133333333333,5.74051851851852,4.02992592592593,4.4242962962963,6.40955555555555,0.729888888888889,4.62974074074074,3.54925925925926,2.31085185185185,2.29859259259259,4.63548148148148,1.48981481481481,2.36077777777778,4.14925925925926,0.526481481481482,3.868,6.34822222222222,1.99307407407407,3.04514814814815,4.0157037037037,1.15474074074074,1.28262962962963,3.30388888888889,0.492444444444444,1.806,0.241444444444445,0.721666666666667,2.2187037037037,7.47622222222222,7.46518518518519,3.35288888888889,4.23103703703704,3.37022222222222,1.94644444444444,4.21685185185185,2.02711111111111,1.32485185185185,-1.05011111111111,-0.260333333333333,5.481,7.83448148148148,2.827,4.50122222222222,4.91359259259259,4.82225925925926,3.82685185185185,8.47537037037037,4.97644444444444,3.09040740740741,3.31896296296296,2.26577777777778,4.87633333333333,4.37566666666667,2.76574074074074,0.457703703703704,0.972703703703704,0.839962962962963,3.10714814814815,0.643703703703704,0.567888888888889,2.87755555555556,6.092,5.84662962962963,1.66562962962963,3.03711111111111,2.17366666666667,6.60307407407407,8.20222222222222,2.2222962962963,4.34751851851852,3.87877777777778,3.00559259259259,3.19018518518519,4.04018518518518,-0.12837037037037,2.29514814814815,3.54692592592593,3.99862962962963
330,3.70540740740741,6.84018518518518,3.14088888888889,4.48844444444444,4.60725925925926,4.01533333333333,5.50474074074074,7.00651851851852,3.25881481481481,2.83674074074074,2.263,1.4377037037037,4.47233333333333,5.62418518518519,3.18092592592593,4.30007407407407,3.34996296296296,3.91288888888889,3.87648148148148,5.46174074074074,5.05718518518518,6.30677777777778,3.582,3.859,8.68051851851852,6.3057037037037,3.83514814814815,2.16151851851852,1.0272962962963,7.33092592592592,12.5075925925926,4.50925925925926,5.81344444444444,4.94840740740741,4.72696296296296,4.28551851851852,5.07281481481481,4.32103703703704,4.53722222222222,4.24640740740741,2.12222222222222,7.69237037037037,5.96866666666667,4.53507407407407,10.2918148148148,6.1742962962963,4.503,5.2557037037037,3.28318518518519,3.48662962962963,4.92455555555555,2.68759259259259,4.60785185185185,6.53540740740741,5.41588888888889,6.76725925925926,5.40459259259259,3.63551851851852,4.23674074074074,5.65,3.25340740740741,4.47874074074074,6.14825925925926,0.83862962962963,3.79422222222222,3.42325925925926,2.16348148148148,2.28233333333333,4.71314814814815,1.75566666666667,2.35744444444444,4.83759259259259,0.93662962962963,3.66437037037037,5.80988888888889,1.94640740740741,3.0457037037037,4.01744444444444,1.33433333333333,1.48259259259259,3.85511111111111,0.598444444444444,2.30137037037037,0.424296296296296,0.978888888888889,2.34111111111111,7.47585185185185,7.33711111111111,3.14248148148148,4.70811111111111,3.17685185185185,2.44544444444444,4.54862962962963,1.96851851851852,1.41811111111111,0.433259259259259,-0.504888888888889,5.12662962962963,7.76522222222222,2.77566666666667,4.15344444444444,4.98411111111111,3.81981481481481,3.27448148148148,8.56514814814815,4.29011111111111,2.2167037037037,2.99274074074074,1.83314814814815,4.68492592592593,3.9222962962963,2.62696296296296,0.583444444444445,0.934851851851852,1.106,2.34303703703704,0.701444444444444,0.413740740740741,4.33577777777778,7.82503703703704,6.21722222222222,2.15214814814815,2.766,1.88651851851852,6.13107407407407,7.93492592592593,2.8977037037037,4.16985185185185,4.20414814814815,3.24388888888889,3.57859259259259,4.91155555555556,0.0780000000000001,3.16951851851852,4.52481481481481,4.02588888888889
335,3.1935,6.58539285714286,2.86317857142857,4.10907142857143,4.82560714285714,3.71825,5.86825,7.55364285714286,3.46785714285714,2.49535714285714,2.07996428571429,2.02121428571429,4.88675,4.66160714285714,2.32439285714286,4.0635,5.21603571428571,3.33489285714286,3.64760714285714,5.54514285714286,4.79882142857143,5.87896428571428,3.36642857142857,3.899,8.56871428571428,6.18728571428572,3.62660714285714,2.69903571428571,1.14125,6.36453571428571,11.53325,4.47007142857143,4.37603571428571,5.02471428571428,3.76935714285714,3.43014285714286,4.62514285714286,3.30067857142857,3.45464285714286,3.08403571428571,0.654392857142857,6.148,4.87357142857143,4.78721428571429,10.0545714285714,5.48585714285714,4.43807142857143,5.31560714285714,3.33517857142857,3.72225,5.03728571428571,3.00282142857143,4.70435714285714,6.79057142857143,5.46835714285714,6.65067857142857,5.38392857142857,3.29992857142857,3.82492857142857,5.9135,2.96367857142857,4.14846428571429,5.88771428571428,1.02275,3.59464285714286,2.48639285714286,1.49,2.519,4.64917857142857,2.16067857142857,2.91039285714286,5.47828571428571,1.54375,3.21260714285714,5.70039285714286,1.84742857142857,2.48767857142857,3.55689285714286,1.27625,1.58317857142857,3.83814285714286,0.267642857142857,2.16403571428571,0.563,0.772142857142857,1.48453571428571,6.577,6.735,2.15296428571429,4.03303571428571,2.67478571428571,2.99792857142857,4.61532142857143,2.23557142857143,1.66885714285714,2.41542857142857,-0.198,4.50942857142857,7.262,2.18346428571429,3.55871428571429,4.81928571428571,2.89267857142857,3.00292857142857,8.59625,3.63475,2.22414285714286,3.06853571428571,1.86607142857143,4.87842857142857,3.49732142857143,2.81967857142857,0.330964285714286,0.71025,1.18610714285714,1.00171428571429,0.767035714285714,0.270571428571429,5.72460714285714,9.18221428571428,6.13328571428571,2.60182142857143,2.59425,1.79264285714286,6.14464285714286,7.46510714285714,2.992,3.91275,5.09789285714286,2.79625,5.39864285714286,5.01553571428571,0.697964285714286,4.94135714285714,6.31875,4.35196428571429
340,3.09107407407407,6.60125925925926,3.03148148148148,4.18888888888889,4.44196296296296,3.534,6.56425925925926,7.97922222222223,3.82362962962963,2.69051851851852,2.43137037037037,2.62881481481481,4.85677777777778,4.256,1.99092592592593,4.36166666666667,5.67025925925926,3.66240740740741,3.62785185185185,5.42844444444444,4.96425925925926,5.9182962962963,3.42814814814815,4.02837037037037,8.7135925925926,6.35203703703704,4.09937037037037,3.42440740740741,1.23892592592593,5.89085185185185,11.5453703703704,4.32137037037037,3.91911111111111,4.63248148148148,3.52796296296296,3.72414814814815,4.82485185185185,3.19262962962963,3.22848148148148,3.10648148148148,0.976222222222222,5.955,4.97981481481481,4.81325925925926,9.53177777777778,5.45262962962963,4.51851851851852,5.37481481481482,3.48451851851852,3.70462962962963,4.59103703703704,2.36803703703704,4.39077777777778,6.54385185185185,5.16914814814815,6.68851851851852,5.33311111111111,3.02459259259259,4.258,6.30340740740741,3.47333333333333,4.246,6.11648148148148,1.31314814814815,3.8322962962963,3.00874074074074,1.70074074074074,2.89259259259259,4.60477777777778,2.33522222222222,3.20255555555556,5.69388888888889,1.40207407407407,3.67303703703704,6.23155555555556,2.27633333333333,2.72696296296296,3.78488888888889,1.55718518518519,1.85737037037037,3.57159259259259,0.0768518518518518,2.04944444444444,0.507555555555556,0.538740740740741,1.51881481481481,6.35725925925926,6.63144444444444,2.1762962962963,4.26792592592593,2.48633333333333,3.58592592592593,5.05688888888889,2.57892592592593,1.85981481481481,3.19862962962963,0.135407407407407,4.30018518518519,7.18048148148148,2.28388888888889,3.69288888888889,5.11814814814815,2.71722222222222,3.58622222222222,8.66248148148148,4.31633333333333,2.4802962962963,3.49759259259259,1.85188888888889,5.09844444444444,3.64559259259259,3.15355555555556,0.371888888888889,0.523444444444444,1.27107407407407,1.07318518518519,0.912037037037037,0.288074074074074,6.57611111111111,10.0408518518519,6.20751851851852,2.64692592592593,3.20674074074074,2.51744444444444,6.64240740740741,7.29281481481482,3.27425925925926,4.20814814814815,5.7252962962963,2.55818518518518,5.51114814814815,4.80414814814815,0.742777777777778,4.90755555555555,6.58151851851852,4.46266666666667
345,3.05922222222222,6.90555555555556,3.17418518518519,4.09437037037037,4.65433333333333,3.64992592592593,6.76585185185185,7.90425925925926,4.01225925925926,2.88285185185185,2.7882962962963,2.34092592592593,5.21377777777778,4.87640740740741,2.55059259259259,5.0142962962963,5.71911111111111,4.03151851851852,3.27559259259259,4.81855555555556,4.50344444444444,5.45837037037037,3.40807407407407,4.55444444444444,8.68614814814815,6.46466666666667,4.53933333333333,4.01666666666667,1.29122222222222,6.03440740740741,11.7787037037037,4.19081481481481,4.04225925925926,4.79422222222222,3.48325925925926,3.85303703703704,4.9812962962963,3.40292592592593,3.7957037037037,3.54444444444444,1.40281481481481,6.37040740740741,5.50040740740741,4.64044444444444,9.18014814814815,5.1102962962963,3.96059259259259,4.96148148148148,3.21807407407408,3.62574074074074,4.4462962962963,2.02733333333333,4.13259259259259,6.48822222222222,4.92951851851852,6.35,5.14222222222222,2.78966666666667,4.0127037037037,6.25251851851852,3.87318518518519,3.93718518518519,5.90674074074074,1.06281481481481,3.37681481481482,3.23874074074074,1.90559259259259,2.98222222222222,4.67440740740741,2.27485185185185,3.02781481481481,5.74766666666666,1.36403703703704,4.14011111111111,6.35262962962963,2.21637037037037,2.42722222222222,3.84644444444445,1.48159259259259,2.22014814814815,3.93692592592593,0.187259259259259,2.36622222222222,0.640259259259259,0.862481481481482,1.90048148148148,6.55259259259259,6.91125925925926,2.52033333333333,4.84948148148148,2.54407407407407,4.15385185185185,5.34748148148148,2.84414814814815,2.19266666666667,4.01559259259259,0.232703703703704,3.81444444444444,6.8655925925926,2.26366666666667,3.57018518518518,4.74611111111111,2.62444444444444,3.69881481481481,8.70974074074074,4.31088888888889,2.31151851851852,3.44214814814815,1.66485185185185,5.006,3.2957037037037,3.04303703703704,0.849407407407408,0.787703703703704,1.81596296296296,1.57366666666667,1.18555555555556,0.432518518518519,7.41622222222222,10.5528148148148,6.07992592592592,3.19611111111111,3.937,2.93040740740741,6.76537037037037,7.09548148148148,3.23622222222222,4.10003703703704,5.83185185185185,2.57337037037037,5.40733333333333,4.93685185185185,0.733592592592593,5.20151851851852,6.6285925925926,4.78340740740741
