"VisualSpec","comparison","Estimate","lwr","upr","Fstat","df","p_val","p_bonf"
"Chromatic Contrast","Snake (Hawaii-Kenya)",0.00425824361062441,-0.210818220427563,0.219334707648812,0.00155161644469715,1,"0.97","1"
"","Birds (Hawaii-Kenya)",-1.7979582190562,-2.32372498636715,-1.27219145174524,47.1131338227635,1,"< 0.0001","< 0.0001"
"Luminance Contrast","Snake (Hawaii-Kenya)",-6.56511911169273,-8.81643163639246,-4.31380658699299,33.6418081324631,1,"< 0.0001","< 0.0001"
"","Birds (Hawaii-Kenya)",-5.80447453834999,-8.32854440621547,-3.28040467048451,21.0196659522615,1,"< 0.0001","< 0.001"
