"VisualRealm","parameter","beta","SE","df","CI_L","CI_U"
"Luminance Contrast","(Intercept)",18.0593591601945,1.85360486551999,26.8468226690351,14.2550605078736,21.8636578125153
"","sc_SVL",0.0746174386430544,0.0769305510510729,17.2584092171809,-0.0875069065660608,0.23674178385217
"","PopulationKenya",-3.62201714192814,2.76684825377488,20.2036749630883,-9.38983375222342,2.14579946836713
"","BodyRegionmidflank",-4.69253869060702,2.23969783004738,28.068073227546,-9.27985049388098,-0.105226887333063
"","BodyRegiontailbase",-8.4340149711626,2.22052444944023,28.068073227546,-12.9820561755246,-3.88597376680063
"","BodyRegiontopflank",-0.470759263790701,2.16079498334461,25.3519840625227,-4.91786900017382,3.97635047259241
"","PopulationKenya:BodyRegionmidflank",1.14572708760977,3.21922806833631,23.5338774284805,-5.50540400639876,7.7968581816183
"","PopulationKenya:BodyRegiontailbase",3.0209074397449,2.8815617029028,22.1058821344882,-2.95342662637784,8.99524150586764
"","PopulationKenya:BodyRegiontopflank",-4.28449102497727,2.85695355841431,25.2146632110871,-10.165958062586,1.59697601263147
"Chromatic Contrast","(Intercept)1",3.4718915135006,0.277546153779143,27.1458189951195,2.90255694754053,4.04122607946066
"","sc_SVL1",-0.019773357098661,0.00807924438288193,17.0494723172222,-0.0368153057500185,-0.00273140844730346
"","PopulationKenya1",0.165532929435783,0.534162416398539,22.9947139066462,-0.939480274550492,1.27054613342206
"","BodyRegionmidflank1",0.400629526264813,0.472421241646327,28.2524960987599,-0.566692037166789,1.36795108969641
"","BodyRegiontailbase1",-0.00518574345740688,0.341300740642837,28.2524960987599,-0.704027236884905,0.693655749970091
"","BodyRegiontopflank1",0.54853232479863,0.48239832648282,26.0718168617246,-0.442918716824115,1.53998336642137
"","PopulationKenya:BodyRegionmidflank1",-1.28338204214665,0.682602134224332,23.481165886845,-2.69385274620225,0.12708866190894
"","PopulationKenya:BodyRegiontailbase1",-1.04677014168408,0.704383805331953,22.2499187345493,-2.50662199267965,0.413081709311491
"","PopulationKenya:BodyRegiontopflank1",-1.5966263261653,0.719944551268141,25.0431507541894,-3.07925034988635,-0.114002302444252
