"JND","Parameter","beta","SE","df","CI_L","CI_U"
"Luminance Contrast","(Intercept)",21.6099056853017,0.91948684985426,59.5492324019343,19.7703717428645,23.4494396277389
"","Predatorsnake",0.328747611326094,0.743840538096279,53.4945262447162,-1.16288567211681,1.820380894769
"","PopulationKenya",-5.8044745383698,1.26604751617539,71.5845494116893,-8.32854440625075,-3.28040467048886
"","Predatorsnake:PopulationKenya",-0.76064457332143,1.19997838210909,39.8002367121629,-3.18627059054336,1.6649814439005
"Chromatic Contrast","(Intercept)1",7.76905822830753,0.146201602822512,57.4729065457629,7.47634676749475,8.0617696891203
"","Predatorsnake1",-5.86560633871384,0.149969335942045,55.0104166042739,-6.1661503248881,-5.56506235253959
"","PopulationKenya1",-1.7979582307091,0.261944079525687,51.434873153139,-2.32372498150232,-1.27219147991588
"","Predatorsnake:PopulationKenya1",1.80221647975148,0.24226729406865,45.3371150507535,1.31436522471339,2.29006773478957
